PartNumber,Quantity
ABSUNISCREW010DSA,1
ABSFPSCROSSSASFADF,1
ABSLAMESAB2JKTSSAFSA,10
ABSSTBFP18812100AFSA,1
ABS58X06HEXBLTAFADF,4
ABS58HEXNUT32,5
PEN022056432321,1
PENC2181804132,5
ABS14X2PNPHSMSSSCQWQ,4
ABSSCRIGSP012213214,3
ABS38NUTZINCCWFWE,2
PEN784563002323,3
PEN78864200234234,2
PEN050860050234234,5
PEN7843510023423,6
PEN050860025234234,4
PEN77168100234,6
PEN05086010042234,2
PEN784381002342,6
PEN78458100234234,4
PEN056072100342342,2
PEN056072100ASD,3
JNDVSFHP185DV2ASDFS,3
HPPSP32950VSPSFDSDF,2
ZODVSSHP220DV2ASDFSDF,3
HPPSP2670007X102323,7
JNDSHPF15223E23,4
HPPSP2605X72342,1
HPPSP3215EE3423,5
HPPSP2607X102S23,2
JNDSHPF05032432,3
PEN011028432423,5
PEN011056234,3
