invoiceNumber,orderNumber,shipmentNumber,customerCode,invoiceDate,invoiceSubTotal,invoiceCharges,invoiceTax,invoiceTotal,paymentStatus,PONumber,dueDate,overDue
0006970422-002,6970422,2,108874,2022-06-22T00:00:00,843.70,10,0,853.7,Unpaid,4320,2022-07-22T00:00:00,No
0007038617-001,7038617,1,108874,2022-06-20T00:00:00,159.58,0,0,159.58,Unpaid,"add to open",2022-07-20T00:00:00,No
0007024766-001,7024766,1,108874,2022-06-17T00:00:00,351.68,0,0,351.68,Unpaid,4357,2022-07-17T00:00:00,No
0007018134-001,7018134,1,108874,2022-06-17T00:00:00,127.94,0,0,127.94,Unpaid,4349,2022-07-17T00:00:00,No
0007017944-001,7017944,1,108874,2022-06-17T00:00:00,249.40,0,0,249.4,Unpaid,4332,2022-07-17T00:00:00,No
0006993422-001,6993422,1,108874,2022-06-16T00:00:00,"3,829.24",20,0,3849.24,Unpaid,4334,2022-07-16T00:00:00,No
0006985465-001,6985465,1,108874,2022-06-16T00:00:00,193.36,0,0,193.36,Unpaid,"320 CARTS",2022-07-16T00:00:00,No
0006985062-001,6985062,1,108874,2022-06-15T00:00:00,649.60,0,0,649.6,Unpaid,4332,2022-07-15T00:00:00,No
0006947918-002,6947918,2,108874,2022-06-15T00:00:00,2.88,0,0,2.88,Unpaid,4188,2022-07-15T00:00:00,No
0006970422-001,6970422,1,108874,2022-06-14T00:00:00,148.20,0,0,148.2,Unpaid,4320,2022-07-14T00:00:00,No
0006947918-001,6947918,1,108874,2022-06-13T00:00:00,60.44,0,0,60.44,Unpaid,4188,2022-07-13T00:00:00,No
0006908271-001,6908271,1,108874,2022-06-09T00:00:00,161.24,0,0,161.24,Unpaid,4211,2022-07-09T00:00:00,No
0006892973-001,6892973,1,108874,2022-06-09T00:00:00,"1,076.16",0,0,1076.16,Unpaid,7042,2022-07-09T00:00:00,No
0006431488-001,6431488,1,108874,2022-06-09T00:00:00,"1,162.00",113,0,1275,Unpaid,"REMINGTON FABRIC",2022-07-09T00:00:00,No
0006868665-001,6868665,1,108874,2022-06-08T00:00:00,234.47,0,0,234.47,Unpaid,COUPLINGS,2022-07-08T00:00:00,No
0006835141-001,6835141,1,108874,2022-06-08T00:00:00,"1,276.60",0,0,1276.6,Unpaid,BASKETBALL,2022-07-08T00:00:00,No
0006831908-001,6831908,1,108874,2022-06-08T00:00:00,"4,578.00",0,0,4578,Unpaid,4130,2022-07-08T00:00:00,No
0006748242-001,6748242,1,108874,2022-06-08T00:00:00,"5,873.78",0,0,5873.78,Unpaid,"SALT CELLS",2022-07-08T00:00:00,No
0006052236-002,6052236,2,108874,2022-06-08T00:00:00,260.28,0,0,260.28,Unpaid,"7042 PT1",2022-07-08T00:00:00,No
0005978141-002,5978141,2,108874,2022-06-08T00:00:00,52.06,0,0,52.06,Unpaid,3421,2022-07-08T00:00:00,No
0005842832-001,5842832,1,108874,2022-06-08T00:00:00,156.17,0,0,156.17,Unpaid,"CAL HYPO",2022-07-08T00:00:00,No
0005668394-001,5668394,1,108874,2022-06-08T00:00:00,"1,175.00",35,0,1210,Unpaid,"REMINGTON SAFETY",2022-07-08T00:00:00,No
0006859229-001,6859229,1,108874,2022-06-06T00:00:00,100.30,0,0,100.3,Unpaid,4158,2022-07-06T00:00:00,No
0006808372-001,6808372,1,108874,2022-06-03T00:00:00,408.80,0,0,408.8,Unpaid,4788,2022-07-03T00:00:00,No
0006819903-001,6819903,1,108874,2022-06-02T00:00:00,440.22,0,0,440.22,Unpaid,4118,2022-07-02T00:00:00,No
0006817065-001,6817065,1,108874,2022-06-02T00:00:00,452.20,0,0,452.2,Unpaid,4118,2022-07-02T00:00:00,No
0006794353-001,6794353,1,108874,2022-06-01T00:00:00,179.70,0,0,179.7,Unpaid,4102,2022-07-01T00:00:00,No
0006762764-001,6762764,1,108874,2022-05-27T00:00:00,546.00,0,0,546,Unpaid,4008,2022-06-26T00:00:00,No
0006744565-001,6744565,1,108874,2022-05-26T00:00:00,160.46,0,0,160.46,Unpaid,4040,2022-06-25T00:00:00,No
0006735287-001,6735287,1,108874,2022-05-26T00:00:00,98.25,0,0,98.25,Unpaid,4034,2022-06-25T00:00:00,No
0006728675-001,6728675,1,108874,2022-05-25T00:00:00,1.75,0,0,1.75,Unpaid,4021,2022-06-24T00:00:00,No
0006718284-001,6718284,1,108874,2022-05-25T00:00:00,546.00,0,0,716.75,Unpaid,4008,2022-06-24T00:00:00,No
0006706317-001,6706317,1,108874,2022-05-24T00:00:00,76.16,0,0,76.16,Unpaid,3990,2022-06-23T00:00:00,No
0006052642-001,6052642,1,108874,2022-05-24T00:00:00,"36,597.42",0,0,36597.46,Unpaid,"7042 PT2",2022-06-23T00:00:00,No
0005978141-003,5978141,3,108874,2022-05-24T00:00:00,61.18,71,0,132.18,Unpaid,3421,2022-06-23T00:00:00,No
0006683106-001,6683106,1,108874,2022-05-23T00:00:00,269.02,0,0,269.02,"Past Due",AHUJA,2022-06-22T00:00:00,Yes
0006540169-002,6540169,2,108874,2022-05-23T00:00:00,214.60,0,0,214.6,"Past Due",3829,2022-06-22T00:00:00,Yes
0006644025-001,6644025,1,108874,2022-05-19T00:00:00,510.90,0,0,510.9,"Past Due",3943,2022-06-18T00:00:00,Yes
0006639460-001,6639460,1,108874,2022-05-19T00:00:00,"4,828.50",0,0,4828.5,"Past Due",3940,2022-06-18T00:00:00,Yes
0006625502-001,6625502,1,108874,2022-05-18T00:00:00,474.58,0,0,474.58,"Past Due",3930,2022-06-17T00:00:00,Yes
0006386951-002,6386951,2,108874,2022-05-18T00:00:00,115.16,0,0,115.16,"Past Due",3709,2022-06-17T00:00:00,Yes
0006616993-001,6616993,1,108874,2022-05-17T00:00:00,399.00,0,0,399,"Past Due",3917,2022-06-16T00:00:00,Yes
0006601915-001,6601915,1,108874,2022-05-16T00:00:00,173.42,0,0,173.42,"Past Due",3904,2022-06-15T00:00:00,Yes
0006572490-001,6572490,1,108874,2022-05-13T00:00:00,"2,250.72",0,0,2250.72,"Past Due",4332,2022-06-12T00:00:00,Yes
0006559927-001,6559927,1,108874,2022-05-12T00:00:00,370.04,0,0,370.04,"Past Due",2323,2022-06-11T00:00:00,Yes
0006555740-001,6555740,1,108874,2022-05-12T00:00:00,218.40,0,0,218.4,"Past Due",3841,2022-06-11T00:00:00,Yes
0006540169-001,6540169,1,108874,2022-05-11T00:00:00,251.72,0,0,251.72,"Past Due",3829,2022-06-10T00:00:00,Yes
0006505155-001,6505155,1,108874,2022-05-09T00:00:00,12.78,0,0,12.78,"Past Due",3790,2022-06-08T00:00:00,Yes
0006445079-002,6445079,2,108874,2022-05-09T00:00:00,3.08,0,0,3.08,"Past Due",3748,2022-06-08T00:00:00,Yes
0006327488-001,6327488,1,108874,2022-05-09T00:00:00,162.98,0,0,162.98,"Past Due","VERBAL LUIS",2022-06-08T00:00:00,Yes
0006483062-001,6483062,1,108874,2022-05-06T00:00:00,"2,265.48",0,0,2265.48,"Past Due",3767,2022-06-05T00:00:00,Yes
0006477107-001,6477107,1,108874,2022-05-06T00:00:00,153.38,0,0,153.38,"Past Due",3769,2022-06-05T00:00:00,Yes
0006445079-001,6445079,1,108874,2022-05-04T00:00:00,103.28,0,0,103.28,"Past Due",3748,2022-06-03T00:00:00,Yes
0006272900-002,6272900,2,108874,2022-05-02T00:00:00,825.60,0,0,825.6,"Past Due",3610,2022-06-01T00:00:00,Yes
0006387215-001,6387215,1,108874,2022-04-29T00:00:00,"1,925.40",0,0,1925.4,"Past Due",3710,2022-05-29T00:00:00,Yes
0006386951-001,6386951,1,108874,2022-04-29T00:00:00,182.94,0,0,182.94,"Past Due",3709,2022-05-29T00:00:00,Yes
0006384019-001,6384019,1,108874,2022-04-29T00:00:00,91.99,0,0,91.99,"Past Due",3708,2022-05-29T00:00:00,Yes
0006338025-001,6338025,1,108874,2022-04-26T00:00:00,0.00,201.47,0,201.47,"Past Due","LEPENE SPA COVER",2022-05-26T00:00:00,Yes
0006333856-001,6333856,1,108874,2022-04-26T00:00:00,352.21,0,0,352.21,"Past Due",3671,2022-05-26T00:00:00,Yes
0005928415-001,5928415,1,108874,2022-04-25T00:00:00,"1,010.00",200,0,1210,"Past Due","LEPENE SPA COVER",2022-05-25T00:00:00,Yes
0006301175-001,6301175,1,108874,2022-04-22T00:00:00,210.06,0,0,210.06,"Past Due",3651,2022-05-22T00:00:00,Yes
0006242672-001,6242672,1,108874,2022-04-22T00:00:00,231.20,0,0,231.2,"Past Due",3569,2022-05-22T00:00:00,Yes
0006272900-001,6272900,1,108874,2022-04-20T00:00:00,552.58,0,0,552.58,"Past Due",3610,2022-05-20T00:00:00,Yes
0006272858-001,6272858,1,108874,2022-04-20T00:00:00,58.65,0,0,58.65,"Past Due",3608,2022-05-20T00:00:00,Yes
0006216634-001,6216634,1,108874,2022-04-15T00:00:00,187.47,0,0,187.47,"Past Due",3585,2022-05-15T00:00:00,Yes
0006193156-001,6193156,1,108874,2022-04-13T00:00:00,249.12,0,0,249.12,"Past Due",3573,2022-05-13T00:00:00,Yes
0006175295-001,6175295,1,108874,2022-04-12T00:00:00,140.50,0,0,140.5,"Past Due",3547,2022-05-12T00:00:00,Yes
0006140501-001,6140501,1,108874,2022-04-08T00:00:00,764.59,0,0,764.59,"Past Due",3509,2022-05-08T00:00:00,Yes
0006094221-002,6094221,2,108874,2022-04-08T00:00:00,950.04,0,0,950.04,"Past Due",hargas,2022-05-08T00:00:00,Yes
0005803204-003,5803204,3,108874,2022-04-06T00:00:00,112.01,0,0,112.01,Unpaid,3255,2022-07-06T00:00:00,No
0006067235-001,6067235,1,108874,2022-04-05T00:00:00,"2,819.01",0,0,2819.01,"Past Due",3388,2022-05-05T00:00:00,Yes
0006052236-001,6052236,1,108874,2022-04-05T00:00:00,"42,043.93",71,0,42114.96,"Past Due","7042 PT1",2022-05-05T00:00:00,Yes
0006087530-001,6087530,1,108874,2022-04-04T00:00:00,104.50,0,0,104.5,"Past Due",3480,2022-05-04T00:00:00,Yes
0006047745-001,6047745,1,108874,2022-03-30T00:00:00,130.77,0,0,130.77,"Past Due",3452,2022-04-29T00:00:00,Yes
0006016414-001,6016414,1,108874,2022-03-25T00:00:00,123.42,0,0,123.42,"Past Due",3436,2022-04-24T00:00:00,Yes
0005804045-001,5804045,1,108874,2022-03-25T00:00:00,"10,377.00",0,0,10377,"Past Due","Poly Direct",2022-04-24T00:00:00,Yes
0005803204-001,5803204,1,108874,2022-03-18T00:00:00,"72,128.22",0,0,72128.31,"Past Due",3255,2022-06-17T00:00:00,Yes
