PartNumber,Quantity
HPPSP158023,1
PEN022056342,7
JNDJXI400NGD,2
JNDJXI200PDFG,5
LZA71222ADFGD,5
ORQCVTLST01043534,3
ORQCSS0002435345,9
CPDGEMUACMNGDH,7
HAVC002351CS74C1123,6
ORQCVTL025UDFGDFG,5
HAVC002347PL2523423,3
HAVC002350CS74C1123,2
HAVC003610CS20B2123,5
LZA71234ASDFF,5
ORQCVTS005324,3
ORQCVTLST025DRG,9
FRG01035880FGG,7
HPPC9002SEPSFS,6
PEN180009SFSFS,5
PEN180008324324,3
HPPDE362023424,2
HPPEC65A4234,5
PEN18861523423,5
HPPDE6020234,2
PEN1885923424,5
PEN188593423,5
WWP570004807234,3
PEN180007243,9
PLSF5TRGDG,7
PLSF3DGDG,6
PENLL505PMDFGDG,5
