PartNumber,Quantity
PEN78107700dfd,1
PEN7736030034,1
HPPSP1436PAKB343,10
HPPSPX1023Z333,1
APP4HP1013,4
PEN500103343,5
PEN0841700053rrf,1
WWP6025310ewr,1
CMP25215000003efe,2
PEN050860050wer,2
PEN78456300wer,5
PEN78864200wer,6
PEN77360300wrew,7
PEN0508601003223,2
PEN0560721002323,3
PEN05086002523,4
PEN771681002323,5
PEN784581002323,1
PEN78451100567,1
PEN78438100789,2
PEN78435100978,2
ITMPF1102T987,5
ITMPF1202T89,6
ITMT104R978,7
ITMPF1103T789797,2
ITMT104R37897,3
ITMT101R3789,4
ITMP1131789,5
ITMT101P201978,1
ITMT101P3789,1
ITMT21004R79,2
